"id_norma","tipo_norma","numero_norma","clase_norma","organismo_origen","fecha_sancion","numero_boletin","fecha_boletin","pagina_boletin","titulo_resumido","titulo_sumario","texto_resumido","observaciones","texto_original","texto_actualizado","modificada_por","modifica_a"
"374675","Resolución","15","","COMISION TECNICA MIXTA DEL FRENTE MARITIMO","2022-11-03","35045","2022-11-11","30","ESPECIE GATUZO - RESERVA ADMINISTRATIVA DE CAPTURA","COMISION TECNICA MIXTA DEL FRENTE MARITIMO","HABILITESE EL TOTAL DE LA RESERVA ADMINISTRATIVA DE CAPTURA (200 T) PREVISTA EN EL ART. 2º) DE LA RESOLUCION Nº 6/22 PARA LA ESPECIE GATUZO (MUSTELUS SCHMITTI) PARA EL AÑO 2022.","","http://servicios.infoleg.gob.ar/infolegInternet/anexos/370000-374999/374675/norma.htm","","0","1"
"374242","Decisión Administrativa","1102","","JEFATURA DE GABINETE DE MINISTROS","2022-11-03","35040","2022-11-04","31","DESIGNACION","AGENCIA NACIONAL DE PROMOCION DE LA INVESTIGACION, EL DESARROLLO TECNOLOGICO Y LA INNOVACION","DASE POR DESIGNADO CON CARACTER TRANSITORIO, A PARTIR DEL 1° DE SEPTIEMBRE DE 2022 Y POR EL TERMINO DE CIENTO OCHENTA (180) DIAS HABILES CONTADOS A PARTIR DE LA FECHA DE LA PRESENTE MEDIDA, AL MEDICO VETERINARIO JORGE OSVALDO BLACKHALL (D.N.I Nº 14.202.944) EN EL CARGO DE DIRECTOR DE EVALUACION TECNICA DE PROYECTOS DE INVESTIGACION DE LA DIRECCION NACIONAL DEL FONDO PARA LA INVESTIGACION CIENTIFICA Y TECNOLOGICA (FONCYT) DE LA AGENCIA NACIONAL DE PROMOCION DE LA INVESTIGACION, EL DESARROLLO TECNOLOGICO Y LA INNOVACION, ORGANISMO DESCENTRALIZADO ACTUANTE EN LA ORBITA DEL MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION, NIVEL B - GRADO 0 DEL CONVENIO COLECTIVO DE TRABAJO SECTORIAL DEL PERSONAL DEL SISTEMA NACIONAL DE EMPLEO PUBLICO (SINEP) HOMOLOGADO POR EL DECRETO N° 2098/08.","","","","0",""
"374234","Decreto","736","","PODER EJECUTIVO NACIONAL (P.E.N.)","2022-11-03","35040","2022-11-04","23","RENUNCIA Y DESIGNACION","MINISTERIO DE DESARROLLO SOCIAL","DASE POR ACEPTADA, A PARTIR DEL 13 DE OCTUBRE DE 2022, LA RENUNCIA PRESENTADA POR EL SEÑOR GUSTAVO MARCELO AGUILERA (D.N.I. N° 21.089.893) AL CARGO DE SECRETARIO DE ARTICULACION DE POLITICA SOCIAL DEL MINISTERIO DE DESARROLLO SOCIAL. DASE POR DESIGNADO, A PARTIR DEL 13 DE OCTUBRE DE 2022, EN EL CARGO DE SECRETARIO DE ARTICULACION DE POLITICA SOCIAL DEL MINISTERIO DE DESARROLLO SOCIAL AL PROFESOR LEONARDO SEBASTIAN MOYANO (D.N.I. N° 29.151.778).","","http://servicios.infoleg.gob.ar/infolegInternet/anexos/370000-374999/374234/norma.htm","","0","1"
"374714","Comunicación","12419","B","BANCO CENTRAL DE LA REPUBLICA ARGENTINA (B.C.R.A.)","2022-11-03","35045","2022-11-11","154","PROGRAMA DE CREDITO PARA LA REACTIVACION DE LA PRODUCCION DE LA PROVINCIA DE SAN JUAN","ENTIDADES FINANCIERAS","PROGRAMA DE CREDITO PARA LA REACTIVACION DE LA PRODUCCION DE LA PROVINCIA DE SAN JUAN (PRESTAMO BID N° 5343/OC-AR). REGIMEN DE LA COMUNICACION 'A' 7560. LLAMADO A SUBASTA N° 1.","","http://servicios.infoleg.gob.ar/infolegInternet/anexos/370000-374999/374714/norma.htm","","0","1"
"375069","Comunicación","7628","A","BANCO CENTRAL DE LA REPUBLICA ARGENTINA (B.C.R.A.)","2022-11-03","35048","2022-11-16","127","EFECTIVO MINIMO Y APLICACION DE RECURSOS","ENTIDADES FINANCIERAS","CIRCULAR RUNOR 1-1758: REGIMEN INFORMATIVO CONTABLE MENSUAL. EFECTIVO MINIMO Y APLICACION DE RECURSOS (R.I. - E.M. - A.R.). ADECUACIONES","","http://servicios.infoleg.gob.ar/infolegInternet/anexos/375000-379999/375069/norma.htm","","0","1"
"374338","Resolución","794","","MINISTERIO DE ECONOMIA","2022-11-03","35041","2022-11-07","44","DISTRIBUCION LIMITE MAXIMO ANUAL","IMPUESTO AL VALOR AGREGADO","A LOS FINES DEL REGIMEN PREVISTO EN EL PRIMER ARTICULO INCORPORADO SIN NUMERO A CONTINUACION DEL ARTICULO 24 DE LA LEY DE IMPUESTO AL VALOR AGREGADO, TEXTO ORDENADO EN 1997 Y SUS MODIFICACIONES, EL ORDEN DE PRELACION PARA LA DISTRIBUCION DEL LIMITE MAXIMO ANUAL QUE RESULTE APLICABLE A LOS EFECTOS DE AFRONTAR LAS EROGACIONES QUE DEMANDEN LAS SOLICITUDES INTERPUESTAS POR LOS CONTRIBUYENTES Y/O RESPONSABLES CORRESPONDIENTES A CADA AÑO, SE DETERMINARA CON BASE EN LA ANTIGÜEDAD DE LOS SALDOS ACUMULADOS SEGUN EL PERIODO FISCAL EN EL QUE SE HUBIEREN GENERADO.","","http://servicios.infoleg.gob.ar/infolegInternet/anexos/370000-374999/374338/norma.htm","","0","2"
"374237","Decreto","735","","PODER EJECUTIVO NACIONAL (P.E.N.)","2022-11-03","35040","2022-11-04","25","DESIGNACIONES","MINISTERIO DE DESARROLLO TERRITORIAL Y HABITAT","DASE POR DESIGNADO, A PARTIR DEL 1° DE NOVIEMBRE DE 2022, AL ABOGADO MARCOS JAVIER AGUILAR (D.N.I. N° 27.523.473) EN EL CARGO DE SECRETARIO DE COORDINACION DEL MINISTERIO DE DESARROLLO TERRITORIAL Y HABITAT. DASE POR DESIGNADO, A PARTIR DEL 1° DE NOVIEMBRE DE 2022, AL ARQUITECTO ANDRES RODRIGO FERNANDEZ (D.N.I. N° 18.440.610) EN EL CARGO DE SUBSECRETARIO DE POLITICAS DE VIVIENDA E INFRAESTRUCTURAS DE LA SECRETARIA DE HABITAT DEL MINISTERIO DE DESARROLLO TERRITORIAL Y HABITAT.","","http://servicios.infoleg.gob.ar/infolegInternet/anexos/370000-374999/374237/norma.htm","","0",""
"374228","Decreto","729","DNU","PODER EJECUTIVO NACIONAL (P.E.N.)","2022-11-03","35040","2022-11-04","10","CREACION","INSTITUTO NACIONAL DE LA AGRICULTURA FAMILIAR, CAMPESINA E INDIGENA","CREASE EL INSTITUTO NACIONAL DE LA AGRICULTURA FAMILIAR, CAMPESINA E INDIGENA COMO ORGANISMO DESCENTRALIZADO ACTUANTE EN EL AMBITO DE LA JEFATURA DE GABINETE DE MINISTROS, CON AUTARQUIA ECONOMICA Y FINANCIERA, PERSONERIA JURIDICA PROPIA Y CAPACIDAD DE ACTUAR EN EL AMBITO DEL DERECHO PUBLICO Y PRIVADO.","","http://servicios.infoleg.gob.ar/infolegInternet/anexos/370000-374999/374228/norma.htm","","0","4"
"374496","Resolución","195","","COMISION NACIONAL DE TRABAJO AGRARIO","2022-11-03","35043","2022-11-09","38","ACTIVIDAD DE NUECES Y SUS VARIEDADES","TRABAJO AGRARIO","FIJANSE LAS REMUNERACIONES MINIMAS PARA EL PERSONAL QUE SE DESEMPEÑA EN LA ACTIVIDAD DE NUECES Y SUS VARIEDADES, EN EL AMBITO DE LA PROVINCIA DE ENTRE RIOS, CON VIGENCIA A PARTIR DEL 1° DE OCTUBRE DE 2022 HASTA EL 30 DE JUNIO DE 2023, CONFORME SE CONSIGNA EN EL ANEXO QUE FORMA PARTE INTEGRANTE DE LA PRESENTE RESOLUCION.","","http://servicios.infoleg.gob.ar/infolegInternet/anexos/370000-374999/374496/norma.htm","","0","1"
"374497","Resolución","196","","COMISION NACIONAL DE TRABAJO AGRARIO","2022-11-03","35043","2022-11-09","39","COSECHA DE SANDIAS Y MELONES","TRABAJO AGRARIO","FIJANSE LAS REMUNERACIONES MINIMAS PARA EL PERSONAL QUE SE DESEMPEÑA EN LAS TAREAS DE COSECHA DE SANDIAS Y MELONES, EN EL AMBITO DE LA PROVINCIA DE ENTRE RIOS, LAS QUE TENDRAN VIGENCIA A PARTIR DEL 1° DE OCTUBRE DE 2022 HASTA EL 30 DE SEPTIEMBRE DE 2023, CONFORME SE DETALLA EN EL ANEXO QUE FORMA PARTE INTEGRANTE DE LA PRESENTE RESOLUCION.","","http://servicios.infoleg.gob.ar/infolegInternet/anexos/370000-374999/374497/norma.htm","","0","1"
"374348","Resolución","2107","","SECRETARIA DE TRABAJO","2022-11-03","35041","2022-11-07","59","TITULARES DE DERECHO DE PARADA DE VENTA Y/O REPARTO DE DIARIOS, REVISTAS Y AFINES","MINISTERIO DE TRABAJO, EMPLEO Y SEGURIDAD SOCIAL","RECONOCESE E INSCRIBASE COMO TITULARES DE DERECHO DE PARADA DE VENTA Y/O REPARTO DE DIARIOS, REVISTAS Y AFINES A LAS PERSONAS MENCIONADAS CONFORME LOS DATOS DESCRIPTOS EN EL IF-2022-112898692-APNDRSNIVYDDRYA# MT QUE FORMA PARTE INTEGRANTE DE LA PRESENTE.","","","","0","1"
"374229","Decreto","739","","PODER EJECUTIVO NACIONAL (P.E.N.)","2022-11-03","35040","2022-11-04","16","DECRETO 50/2019 - MODIFICACION","ADMINISTRACION PUBLICA NACIONAL","SUSTITUYESE DEL ANEXO I ORGANIGRAMA DE APLICACION DE LA ADMINISTRACION NACIONAL CENTRALIZADA HASTA NIVEL DE SUBSECRETARIA- APROBADO POR EL ARTICULO 1º DEL DECRETO Nº 50 DEL 19 DE DICIEMBRE DE 2019 Y SUS MODIFICATORIOS EL APARTADO XV, MINISTERIO DE SEGURIDAD. Y OTRAS MODIFICACIONES.","","http://servicios.infoleg.gob.ar/infolegInternet/anexos/370000-374999/374229/norma.htm","","0","1"
"374254","Resolución","1895","","MINISTERIO DE CULTURA","2022-11-03","35040","2022-11-04","52","LICENCIAS, JUSTIFICACIONES Y FRANQUICIAS - TRANSFERENCIA","MINISTERIO DE CULTURA","TRANSFERIR AL PERIODO COMPRENDIDO ENTRE EL 1° DE DICIEMBRE DE 2022 Y EL 30 DE NOVIEMBRE DE 2023, COMO MEDIDA DE EXCEPCION A LO DISPUESTO POR EL ARTICULO 9º, INCISO B) DEL REGIMEN DE LICENCIAS, JUSTIFICACIONES Y FRANQUICIAS APROBADO POR DECRETO Nº 3.413/79 Y SUS MODIFICATORIOS, LAS LICENCIAS ANUALES ORDINARIAS DEVENGADAS EN EL AÑO 2021, QUE AUN NO HAYAN SIDO USUFRUCTUADAS POR LAS Y LOS AGENTES DEL MINISTERIO DE CULTURA.","","http://servicios.infoleg.gob.ar/infolegInternet/anexos/370000-374999/374254/norma.htm","","0","1"
"374236","Decreto","734","","PODER EJECUTIVO NACIONAL (P.E.N.)","2022-11-03","35040","2022-11-04","24","DESIGNACION","MINISTERIO DE DESARROLLO TERRITORIAL Y HABITAT","DASE POR DESIGNADA, A PARTIR DEL 1° DE NOVIEMBRE DE 2022, EN EL CARGO DE SECRETARIA DE HABITAT DEL MINISTERIO DE DESARROLLO TERRITORIAL Y HABITAT A LA SEÑORA MICAELA VILLAVERDE (D.N.I. N° 33.286.113).","","http://servicios.infoleg.gob.ar/infolegInternet/anexos/370000-374999/374236/norma.htm","","0",""
"374275","Resolución","710","Sintetizada","SERVICIO NAC. DE SANIDAD Y CALIDAD AGROALIMENTARIA","2022-11-03","35040","2022-11-04","88","ASIGNACION DE FUNCIONES - PRORROGA","SERVICIO NACIONAL DE SANIDAD Y CALIDAD AGROALIMENTARIA","PRORROGUESE, A PARTIR DEL 12 DE JULIO DE 2022 Y POR EL TERMINO DE SEIS (6) MESES CONTADOS DESDE EL DICTADO DE LA PRESENTE MEDIDA, LA ASIGNACION TRANSITORIA DE FUNCIONES COMO DIRECTOR DE CENTRO REGIONAL CORRIENTES-MISIONES, DEPENDIENTE DE LA DIRECCION NACIONAL DE OPERACIONES DEL SERVICIO NACIONAL DE SANIDAD Y CALIDAD AGROALIMENTARIA, AL INGENIERO AGRONOMO D. PEDRO HERNAN MENDEZ (M.I. N° 20.869.220), DISPUESTA POR LA RESOLUCION N° RESOL-2021-112-APN-MAGYP DEL 24 DE JUNIO DE 2021 DEL ENTONCES MINISTERIO DE AGRICULTURA, GANADERIA Y PESCA Y PRORROGADA MEDIANTE LA RESOLUCION N° RESOL-2022-20-APN-PRES#SENASA DEL 11 DE ENERO DE 2022 DEL CITADO SERVICIO NACIONAL, QUIEN REVISTA EN EL AGRUPAMIENTO OPERATIVO, CATEGORIA PROFESIONAL, GRADO 9, TRAMO GENERAL DEL CONVENIO COLECTIVO DE TRABAJO SECTORIAL PARA EL PERSONAL DEL REFERIDO SERVICIO NACIONAL, HOMOLOGADO POR EL DECRETO Nº 40 DEL 25 DE ENERO DE 2007, AUTORIZANDOSE EL CORRESPONDIENTE PAGO DE LA FUNCION DIRECTIVA III.","","","","0",""
"375007","Resolución","267","","AGENCIA DE ADMINISTRACION DE BIENES DEL ESTADO","2022-11-03","35048","2022-11-16","11","PROCESO DE REGULARIZACION DOMINIAL - CONTINUESE","AGENCIA DE ADMINISTRACION DE BIENES DEL ESTADO","CONTINUESE CON EL PROCESO DE REGULARIZACION DOMINIAL DEL INMUEBLE IDENTIFICADO CATASTRALMENTE EN ORIGEN, SEGUN BOLETO DE COMPRAVENTA SUSCRIPTO POR EL EX MINISTERIO DE ECONOMIA Y OBRAS Y SERVICIOS PUBLICOS EN REPRESENTACION DEL ESTADO NACIONAL EN FECHA 1º DE DICIEMBRE DE 1992, COMO CIRCUNSCRIPCION II, SECCION N, FRACCION I, PARCELA 2 (PARTE), DELIMITADO POR LAS CALLES MORRIS Y 4 DE FEBRERO, VILLA ZAGALA DEL PARTIDO DE SAN MARTIN, DE LA PROVINCIA DE BUENOS AIRES, EN FAVOR DE LOS OCUPANTES QUE SURJAN DEL RELEVAMIENTO DISPUESTO EN EL ARTICULO 2º DE LA PRESENTE.","","http://servicios.infoleg.gob.ar/infolegInternet/anexos/375000-379999/375007/norma.htm","","0","1"
"375657","Resolución","77","","INSTITUTO NACIONAL DE SEMILLAS","2022-11-03","35057","2022-11-29","13","SOJA","REGISTROS DE CULTIVARES","ORDENASE LA INSCRIPCION EN EL REGISTRO NACIONAL DE LA PROPIEDAD DE CULTIVARES, DEL INSTITUTO NACIONAL DE SEMILLAS, ORGANISMO DESCENTRALIZADO EN LA ORBITA DE LA SECRETARIA DE AGRICULTURA, GANADERIA Y PESCA DEL MINISTERIO DE ECONOMIA, CREADOS POR LA LEY DE SEMILLAS Y CREACIONES FITOGENETICAS Nº 20.247, DE LAS CREACIONES FITOGENETICAS GENETICAMENTE MODIFICADAS DE SOJA (GLYCINE MAX (L.) MERR.) DE DENOMINACIONES E3.82, STINE 45EB52 STS, E4.41 Y STINE 47EA32, SOLICITADAS POR LA EMPRESA M.S.TECHNOLOGIES ARGENTINA S.R.L.","","","","0","1"
"374332","Resolución","823","","JEFATURA DE GABINETE DE MINISTROS","2022-11-03","35041","2022-11-07","32","ASIGNACION DE FUNCIONES","JEFATURA DE GABINETE DE MINISTROS","ASIGNASE TRANSITORIAMENTE, PARTIR DEL 27 DE ABRIL DE 2022 Y HASTA EL 30 DE JUNIO DE 2022, LA FUNCION DE COORDINADORA DE RECURSOS, RECLAMOS Y TRAMITES ADMINISTRATIVOS DE LA DIRECCION DE DICTAMENES DE ASUNTOS ADMINISTRATIVOS Y CONTRACTUALES DE LA DIRECCION GENERAL DE ASUNTOS JURIDICOS DEPENDIENTE SUBSECRETARIA LEGAL DE LA SECRETARIA DE COORDINACION LEGAL Y ADMINISTRATIVA DE LA JEFATURA DE GABINETE DE MINISTROS, A LA DOCTORA MARIA EUGENIA GONZALEZ (D.N.I. Nº 31.190.223), AGENTE PERTENECIENTE A LA PLANTA PERMANENTE DE LA JEFATURA DE GABINETE DE MINISTROS, NIVEL B GRADO 3, AGRUPAMIENTO PROFESIONAL, TRAMO GENERAL, DEL SISTEMA NACIONAL DE EMPLEO PUBLICO (SINEP), HOMOLOGADO POR EL DECRETO N° 2098 DEL 3 DE DICIEMBRE DE 2008 Y SUS MODIFICATORIOS.","","","","0",""
"374341","Resolución","124","","SECRETARIA DE AGRICULTURA, GANADERIA Y PESCA","2022-11-03","35041","2022-11-07","48","ISOLOGOTIPO","MINISTERIO DE ECONOMIA","APRUEBASE EL ISOLOGOTIPO PARA DISTINGUIR EXCLUSIVAMENTE A LOS PRODUCTOS QUE PRODUCIDOS Y/O ELABORADOS EN LA REPUBLICA ARGENTINA REVISTAN LA CONDICION DE 'ORGANICO EN CONVERSION' DE ACUERDO A LO ESTABLECIDO POR LA RESOLUCION N° 374 DE FECHA 14 DE JULIO DE 2016 DEL SERVICIO NACIONAL DE SANIDAD Y CALIDAD AGROALIMENTARIA (SENASA), ORGANISMO DESCENTRALIZADO EN LA ORBITA DE LA SECRETARIA DE AGRICULTURA, GANADERIA Y PESCA DEL ENTONCES MINISTERIO DE AGROINDUSTRIA, EN LOS TERMINOS DE LA LEY Nº 25.127 Y LOS DECRETOS NROS. 97 DE FECHA 25 DE ENERO DE 2001 Y 206 DE FECHA 16 DE FEBRERO DE 2001; EL CUAL LUCE EN EL ANEXO QUE, REGISTRADO CON EL N° IF-2022-100413070-APN-SSABDR#MEC, FORMA PARTE INTEGRANTE DE LA PRESENTE RESOLUCION.","","http://servicios.infoleg.gob.ar/infolegInternet/anexos/370000-374999/374341/norma.htm","","0","2"
"374230","Decreto","738","","PODER EJECUTIVO NACIONAL (P.E.N.)","2022-11-03","35040","2022-11-04","17","DISPOSICIONES","COMISION NACIONAL DE ACTIVIDADES ESPACIALES","INDULTASE A LA COMISION NACIONAL DE ACTIVIDADES ESPACIALES (CONAE), ORGANISMO DESCENTRALIZADO ACTUANTE EN EL AMBITO DEL MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION, DE LAS PENAS QUE LE PUDIEREN CORRESPONDER POR LA COMISION DE LA INFRACCION TIPIFICADA EN EL ARTICULO 970 DE LA LEY Nº 22.415(CODIGO ADUANERO) Y SUS MODIFICACIONES POR LA FALTA DE REIMPORTACION EN TERMINO DE LAS MERCADERIAS EXPORTADAS TEMPORALMENTE BAJO LAS DESTINACIONES 'DDT 10004ET 02000002E Y DDT 10004ET 02000004G'.","","http://servicios.infoleg.gob.ar/infolegInternet/anexos/370000-374999/374230/norma.htm","","0","1"
"374335","Resolución","110","","SECRETARIA DE INTEGRACION SOCIO-URBANA","2022-11-03","35041","2022-11-07","38","LIMITACION DE FUNCIONES","MINISTERIO DE DESARROLLO SOCIAL","LIMITASE, A PARTIR DEL DICTADO DE LA PRESENTE, AL DR. PABLO MARTIN DEL VALLE GATTI, DNI 25.654.357, EN SUS FUNCIONES COMO INTEGRANTE DEL COMITE EJECUTIVO DEL FONDO DE INTEGRACION SOCIO URBANA EN REPRESENTACION DEL MINISTERIO DE DESARROLLO SOCIAL DE LA NACION.","","","","0","1"
"374492","Resolución","191","","COMISION NACIONAL DE TRABAJO AGRARIO","2022-11-03","35043","2022-11-09","35","TAREAS DE RALEO MANUAL DE FRUTA","TRABAJO AGRARIO","FIJANSE LAS REMUNERACIONES MINIMAS PARA EL PERSONAL QUE SE DESEMPEÑA EN TAREAS DE RALEO MANUAL DE FRUTA, EN EL AMBITO DE LAS PROVINCIAS DE RIO NEGRO Y NEUQUEN, CON VIGENCIA A PARTIR DEL 1º DE OCTUBRE DE 2022 Y DEL 1º DE DICIEMBRE DE 2022 Y HASTA EL 30 DE SEPTIEMBRE DE 2023, CONFORME SE DETALLA EN LOS ANEXOS I Y II QUE FORMAN PARTE INTEGRANTE DE LA PRESENTE RESOLUCION.","","http://servicios.infoleg.gob.ar/infolegInternet/anexos/370000-374999/374492/norma.htm","","0","1"
"374355","Disposición","233","","ADUANA OBERA","2022-11-03","35041","2022-11-07","69","VENTA DE MERCADERIAS","ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS","AUTORIZAR LA VENTA DE LAS MERCADERIAS, EN EL ESTADO EN QUE SE ENCUENTRAN Y EXHIBEN -CON LA DEBIDA ANTELACION Y BAJO MODALIDAD ELECTRONICA-, DE ACUERDO AL VALOR BASE Y CON LAS OBSERVACIONES QUE EN CADA CASO SE INDICAN EN EL ANEXO IF-2022-02024173-AFIP-ADOBER#SDGOAI QUE FORMA PARTE INTEGRANTE DEL PRESENTE ACTO.","","","","0",""
"374239","Decisión Administrativa","1098","","JEFATURA DE GABINETE DE MINISTROS","2022-11-03","35040","2022-11-04","26","CONTRATACION DIRECTA - ADJUDICASE","MINISTERIO DE EDUCACION","ADJUDICASE LA TOTALIDAD DE LOS RENGLONES DE LA CONTRATACION DIRECTA POR ADJUDICACION SIMPLE POR EXCLUSIVIDAD IDENTIFICADA COMO PROCESO DE COMPRA Nº 82-0105-CDI22 A LA FIRMA EDICIONES SANTILLANA S.A. (C.U.I.T. N° 30-51678236-2), POR LA SUMA DE PESOS DOS MIL QUINIENTOS VEINTICUATRO MILLONES NOVECIENTOS TREINTA Y UN MIL QUINIENTOS DIECIOCHO CON 73/100.- ($2.524.931.518,73).","","","","0","1"
"374346","Resolución","1563","","MINISTERIO DE TRABAJO, EMPLEO Y SEGURIDAD SOCIAL","2022-11-03","35041","2022-11-07","56","DESIGNACION","MINISTERIO DE TRABAJO, EMPLEO Y SEGURIDAD SOCIAL","DESIGNASE A MARIA AMELIA DE DIOS (DNI Nº 37.656.862) COMO DELEGADA NORMALIZADORA DEL CENTRO DE DOCENTES DE ENSEÑANZA MEDIA Y SUPERIOR DE JUJUY.","","http://servicios.infoleg.gob.ar/infolegInternet/anexos/370000-374999/374346/norma.htm","","0",""
"374255","Resolución","328","","MINISTERIO DE DESARROLLO TERRITORIAL Y HABITAT","2022-11-03","35040","2022-11-04","52","DESIGNACIONES - PRORROGA","MINISTERIO DE DESARROLLO TERRITORIAL Y HABITAT","PRORROGANSE, DESDE LA FECHA INDICADA EN CADA CASO Y POR EL TERMINO DE CIENTO OCHENTA (180) DIAS HABILES, LAS DESIGNACIONES TRANSITORIAS DE LOS FUNCIONARIOS QUE SE DETALLAN EN EL ANEXO REGISTRADO BAJO EL IF- 2022-111575680-APN-DGRRHH#MDTYH, QUE INTEGRA LA PRESENTE MEDIDA, EN LOS CARGOS QUE ALLI SE CONSIGNAN, EN BOLETIN OFICIAL Nº 35.040 - PRIMERA SECCION 54 VIERNES 4 DE NOVIEMBRE DE 2022 IDENTICAS CONDICIONES A LAS DISPUESTAS EN SUS RESPECTIVAS DESIGNACIONES, UTILIZANDOSE LOS CORRESPONDIENTES PAGOS DE LAS FUNCIONES EJECUTIVAS DEL CONVENIO COLECTIVO DE TRABAJO SECTORIAL DEL PERSONAL DEL SISTEMA NACIONAL DE EMPLEO PUBLICO (SINEP), HOMOLOGADO POR EL DECRETO Nº 2098/08, SUS MODIFICATORIOS Y COMPLEMENTARIOS.","","","","0","2"
"374321","Resolución","615","","AUTORIDAD REGULATORIA NUCLEAR","2022-11-03","35041","2022-11-07","18","PERMISOS INDIVIDUALES; AUTORIZACIONES ESPECIFICAS Y RENOVACIONES DE AUTORIZACIONES ESPECIFICAS","AUTORIDAD REGULATORIA NUCLEAR","OTORGAR LAS RENOVACIONES DE PERMISOS INDIVIDUALES; LAS AUTORIZACIONES ESPECIFICAS Y LAS RENOVACIONES DE AUTORIZACIONES ESPECIFICAS PARA EL PERSONAL QUE SE DESEMPEÑA EN INSTALACIONES CLASE II DEL CICLO DEL COMBUSTIBLE NUCLEAR Y CLASE I, QUE SE LISTA COMO ANEXO A LA PRESENTE RESOLUCION.","","","","0",""
"374365","Resolución","747","Sintetizada","SUPERINTENDENCIA DE SEGUROS DE LA NACION","2022-11-03","35041","2022-11-07","94","ELEMENTAL BROKERS SOCIEDAD DE PRODUCTORES Y ASESORES DE SEGUROS S.R.L.","SEGUROS","INSCRIBIR EN EL REGISTRO DE SOCIEDADES DE PRODUCTORES DE SEGUROS, PARA EJERCER LA ACTIVIDAD DE INTERMEDIACION EN SEGUROS, EN EL TERRITORIO NACIONAL Y EN TODAS LAS RAMAS DEL SEGURO, A ELEMENTAL BROKERS SOCIEDAD DE PRODUCTORES Y ASESORES DE SEGUROS S.R.L. (CUIT 30-71768137-8).","","","","0",""
"374235","Decreto","733","","PODER EJECUTIVO NACIONAL (P.E.N.)","2022-11-03","35040","2022-11-04","24","DESIGNACION","MINISTERIO DE DESARROLLO TERRITORIAL Y HABITAT","DASE POR ACEPTADA, A PARTIR DEL 1° DE NOVIEMBRE DE 2022, LA RENUNCIA PRESENTADA POR LA ARQUITECTA PALOMA INES WOLOWSKI (D.N.I N° 33.203.423) AL CARGO DE SECRETARIA DE COORDINACION DEL MINISTERIO DE DESARROLLO TERRITORIAL Y HABITAT. DASE POR DESIGNADA, A PARTIR DEL 1° DE NOVIEMBRE DE 2022, A LA ARQUITECTA PALOMA INES WOLOWSKI (D.N.I. N° 33.203.423) EN EL CARGO DE SUBSECRETARIA DE ABORDAJE Y GESTION REGIONAL DE LA SECRETARIA DE ARTICULACION FEDERAL DEL MINISTERIO DE DESARROLLO TERRITORIAL Y HABITAT.","","http://servicios.infoleg.gob.ar/infolegInternet/anexos/370000-374999/374235/norma.htm","","0","1"
"374224","Decreto","732","","PODER EJECUTIVO NACIONAL (P.E.N.)","2022-11-03","35040","2022-11-04","4","LEY 27692 - SU PROMULGACION","LEY DEL DEPORTE","PROMULGASE LA LEY Nº 27.692 (IF-2022-112265093-APN-DSGA#SLYT), SANCIONADA POR EL HONORABLE CONGRESO DE LA NACION EN SU SESION DEL DIA 12 DE OCTUBRE DE 2022.","","http://servicios.infoleg.gob.ar/infolegInternet/anexos/370000-374999/374224/norma.htm","","0","1"
"374493","Resolución","192","","COMISION NACIONAL DE TRABAJO AGRARIO","2022-11-03","35043","2022-11-09","36","ARREOS DE GANADO Y REMATES EN FERIAS","TRABAJO AGRARIO","FIJANSE LAS REMUNERACIONES MINIMAS PARA EL PERSONAL QUE SE DESEMPEÑA EN LA ACTIVIDAD ARREOS DE GANADO Y REMATES EN FERIAS, EN EL AMBITO DE LA PROVINCIA DE ENTRE RIOS, LAS QUE TENDRAN VIGENCIA A PARTIR DEL 1° DE OCTUBRE DE 2022, HASTA EL 30 DE SEPTIEMBRE DEL 2023, CONFORME SE CONSIGNA EN EL ANEXO QUE FORMA PARTE INTEGRANTE DE LA PRESENTE RESOLUCION.","","http://servicios.infoleg.gob.ar/infolegInternet/anexos/370000-374999/374493/norma.htm","","0","1"
