"id_norma_modificada","id_norma_modificatoria","tipo_norma","nro_norma","clase_norma","organismo_origen","fecha_boletin","titulo_sumario","titulo_resumido"
"365280","369585","Disposición","478","","DIRECCION DE NORMATIVA LABORAL","2022-08-11","CONVENCIONES COLECTIVAS DE TRABAJO","FEDERACION DE ORGANIZACIONES DE LOS MANDOS MEDIOS DE LAS TELECOMUNICACIONES - OTRO"
"365284","372676","Disposición","540","","DIRECCION DE NORMATIVA LABORAL","2022-10-05","CONVENCIONES COLECTIVAS DE TRABAJO","S.A.T.T.S.A.I.D. - CAMARA ARGENTINA DE PRODUCTORAS INDEPENDIENTES DE TELEVISION"
"365303","365304","Decreto","266","","PODER EJECUTIVO NACIONAL (P.E.N.)","2022-05-26","MARCO REGULATORIO PARA EL DESARROLLO DE LA INDUSTRIA DEL CANNABIS MEDICINAL Y EL CAÑAMO INDUSTRIAL","LEY 27669 - SU PROMULGACION"
"365303","367333","Resolución","260","","INSTITUTO NACIONAL DE SEMILLAS","2022-07-05","INSTITUTO NACIONAL DE SEMILLAS","ORGANOS DE PROPAGACION VEGETAL - MENCION"
"365303","368606","Resolución","3405","","INSTITUTO NACIONAL DE ASOCIATIVISMO Y ECONOMIA SOCIAL","2022-07-26","INSTITUTO NACIONAL DE ASOCIATIVISMO Y ECONOMIA SOCIAL","OBSERVATORIO DE CANNABIS"
"365303","370137","Resolución","454","","SERVICIO NAC. DE SANIDAD Y CALIDAD AGROALIMENTARIA","2022-08-22","SERVICIO NACIONAL DE SANIDAD Y CALIDAD AGROALIMENTARIA","MESA ESTRATEGICA DE CANNABIS Y CAÑAMO INDUSTRIAL DEL SENASA"
"365305","375864","Decreto","803","","PODER EJECUTIVO NACIONAL (P.E.N.)","2022-12-01","ACUERDOS","DECRETO 269/2022 - MODIFICACION"
"365328","367338","Resolución","120","","SECRETARIA DE GESTION Y EMPLEO PUBLICO","2022-07-05","JEFATURA DE GABINETE DE MINISTROS","BASES CONCURSO - APRUEBANSE"
"365328","372571","Resolución","217","","SECRETARIA DE GESTION Y EMPLEO PUBLICO","2022-10-04","JEFATURA DE GABINETE DE MINISTROS","ORDENES DE MERITO - APRUEBENSE"
"365331","367115","Resolución","117","","SECRETARIA DE GESTION Y EMPLEO PUBLICO","2022-07-01","JEFATURA DE GABINETE DE MINISTROS","BASES CONCURSO - APRUEBANSE"
"365331","374703","Resolución","247","","SECRETARIA DE GESTION Y EMPLEO PUBLICO","2022-11-11","JEFATURA DE GABINETE DE MINISTROS","ORDEN DE MERITO - APROBACION"
"365332","372341","Resolución","590","","MINISTERIO DE CIENCIA TECNOLOGIA E INNOVACION","2022-09-30","MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APRUEBESE LO ACTUADO"
"365332","375585","Resolución","750","","MINISTERIO DE CIENCIA TECNOLOGIA E INNOVACION","2022-11-28","MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION","COMITE DE VALORACION PARA LA PROMOCION POR EVALUACION Y MERITO - APROBACION"
"365336","366771","Disposición","508","","AGENCIA NACIONAL DE SEGURIDAD VIAL","2022-06-23","AGENCIA NACIONAL DE SEGURIDAD VIAL","DISPOSICION ANSV 364/2022 - RECTIFICASE"
