"id_norma_modificatoria","id_norma_modificada","tipo_norma","nro_norma","clase_norma","organismo_origen","fecha_boletin","titulo_sumario","titulo_resumido"
"374640","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"374660","326556","Decisión Administrativa","683","","JEFATURA DE GABINETE DE MINISTROS","2019-08-13","SERVICIO NACIONAL DE SANIDAD Y CALIDAD AGROALIMENTARIA","DESIGNACION"
"374660","359814","Resolución","666","Sintetizada","SERVICIO NAC. DE SANIDAD Y CALIDAD AGROALIMENTARIA","2022-01-19","SERVICIO NACIONAL DE SANIDAD Y CALIDAD AGROALIMENTARIA","ASIGNACION DE FUNCIONES - PRORROGA"
"374661","351369","Resolución","110","Sintetizada","MINISTERIO DE AGRICULTURA GANADERIA Y PESCA","2021-06-28","MINISTERIO DE AGRICULTURA, GANADERIA Y PESCA","ASIGNACION DE FUNCIONES"
"374661","359714","Resolución","19","Sintetizada","SERVICIO NACIONAL DE SANIDAD Y CALIDAD AGROALIMENT","2022-01-18","SERVICIO NACIONAL DE SANIDAD Y CALIDAD AGROALIMENTARIA","ASIGNACION DE FUNCIONES - PRORROGA"
"374662","68396","Decreto","1023","","PODER EJECUTIVO NACIONAL (P.E.N.)","2001-08-16","ADMINISTRACION PUBLICA NACIONAL","CONTRATACIONES DEL ESTADO - REGIMEN"
"374663","68396","Decreto","1023","","PODER EJECUTIVO NACIONAL (P.E.N.)","2001-08-16","ADMINISTRACION PUBLICA NACIONAL","CONTRATACIONES DEL ESTADO - REGIMEN"
"374664","68396","Decreto","1023","","PODER EJECUTIVO NACIONAL (P.E.N.)","2001-08-16","ADMINISTRACION PUBLICA NACIONAL","CONTRATACIONES DEL ESTADO - REGIMEN"
"374666","68396","Decreto","1023","","PODER EJECUTIVO NACIONAL (P.E.N.)","2001-08-16","ADMINISTRACION PUBLICA NACIONAL","CONTRATACIONES DEL ESTADO - REGIMEN"
"374671","638","Ley","24240","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1993-10-15","DEFENSA DEL CONSUMIDOR","REGIMEN LEGAL"
"374671","333973","Resolución","1","","SECRETARIA DE COMERCIO INTERIOR","2020-01-20","MINISTERIO DE DESARROLLO PRODUCTIVO","PROGRAMA 'PRECIOS CUIDADOS' - MODELO DE CONVENIO"
"374672","638","Ley","24240","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1993-10-15","DEFENSA DEL CONSUMIDOR","REGIMEN LEGAL"
"374672","374671","Resolución","823","","MINISTERIO DE ECONOMIA","2022-11-11","MINISTERIO DE ECONOMIA","PROGRAMA 'PRECIOS JUSTOS' - CREASE"
"374673","77395","Resolución","32","","AUTORIDAD REGULATORIA NUCLEAR","2002-09-03","ACTIVIDAD NUCLEAR","REGIMEN DE SANCIONES"
"374674","42924","Ley","24804","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1997-04-25","LEY NACIONAL DE LA ACTIVIDAD NUCLEAR","FUNCIONES - CRITERIO DE REGULACION"
"374674","142872","Resolución","76","","AUTORIDAD REGULATORIA NUCLEAR","2008-07-28","ACTIVIDAD NUCLEAR","REGIMEN DE TASAS POR LICENCIAMIENTO E INSPECCION - APROBACION"
"374675","369245","Resolución","6","","COMISION TECNICA MIXTA DEL FRENTE MARITIMO","2022-08-05","COMISION TECNICA MIXTA DEL FRENTE MARITIMO","ESPECIE GATUZO - CAPTURA TOTAL PERMISIBLE"
"374676","39200","Decreto","1019","","PODER EJECUTIVO NACIONAL (P.E.N.)","1996-09-11","OBRAS VIALES","AMPLIACION - REMODELACION - CONSERVACION"
"374677","158649","Ley","26522","","HONORABLE CONGRESO DE LA NACION ARGENTINA","2009-10-10","SERVICIOS DE COMUNICACION AUDIOVISUAL","REGULACION"
"374677","239771","Ley","27078","","HONORABLE CONGRESO DE LA NACION ARGENTINA","2014-12-19","ARGENTINA DIGITAL","TECNOLOGIAS DE LA INFORMACION Y LAS COMUNICACIONES"
"374678","345306","Decreto","1020","DNU","PODER EJECUTIVO NACIONAL (P.E.N.)","2020-12-17","SERVICIOS PUBLICOS DE TRANSPORTE Y DISTRIBUCION DE ENERGIA ELECTRICA Y GAS NATURAL","REVISION TARIFARIA INTEGRAL"
